Emp ID,satisfaction_level,number_project,average_montly_hours,motivation,motivation_A1,motivation_A2,motivation_A3,motivation_A4,motivation_A5,motivation_A6,motivation_A7,motivation_A8
2965,0.14,5,175,0.4325,0.4325,0.4825,0.410875,0,0.4625,0.4625,0.4825,0.5125
2966,0.81,4,216,0.761,0.761,0.811,0.8371,0,0.791,0.831,0.811,0.781
2967,0.73,4,196,0.739,0.739,0.789,0.8129,0,0.769,0.809,0.789,0.759
2968,0.58,5,187,0.6705,0.6705,0.7205,0.73755,0,0.7005,0.7005,0.7205,0.7505
2969,0.24,4,155,0.4325,0.4325,0.4825,0.410875,0,0.4625,0.4625,0.4825,0.4525
2970,0.31,3,205,0.5075,0.5075,0.5575,0.482125,0,0.5375,0.5375,0.5575,0.5275
2971,0.74,3,230,0.685,0.685,0.735,0.7535,0,0.785,0.755,0.735,0.705
2972,0.86,5,157,0.7655,0.7655,0.8155,0.84205,0,0.7955,0.8355,0.8155,0.8455
2973,0.22,4,287,0.3595,0.3595,0.4095,0.341525,0,0.4595,0.3895,0.4095,0.3795
2974,0.66,4,161,0.6515,0.6515,0.7015,0.71665,0,0.6815,0.6815,0.7015,0.6715
2975,0.21,5,239,0.4465,0.4465,0.4965,0.424175,0,0.5465,0.4765,0.4965,0.5265
2976,0.95,3,267,0.7345,0.7345,0.7845,0.80795,0,0.8345,0.8045,0.7845,0.7545
2977,0.24,5,208,0.508,0.508,0.558,0.4826,0,0.538,0.538,0.558,0.588
2978,0.66,3,133,0.5895,0.5895,0.6395,0.560025,0,0.6195,0.6195,0.6395,0.6095
2979,0.88,3,187,0.7805,0.7805,0.8305,0.85855,0,0.8105,0.8505,0.8305,0.8005
2980,0.67,4,140,0.625,0.625,0.675,0.6875,0,0.655,0.655,0.675,0.645
2981,0.75,4,270,0.65,0.65,0.7,0.715,0,0.75,0.72,0.7,0.67
2982,0.93,3,147,0.7455,0.7455,0.7955,0.82005,0,0.7755,0.8155,0.7955,0.7655
2983,0.64,3,181,0.6515,0.6515,0.7015,0.71665,0,0.6815,0.6815,0.7015,0.6715
2984,0.51,3,156,0.549,0.549,0.599,0.52155,0,0.579,0.579,0.599,0.569
2985,0.98,4,207,0.8595,0.8595,0.9095,0.94545,0,0.8895,0.9295,0.9095,0.8795
2986,0.72,4,241,0.6785,0.6785,0.7285,0.74635,0,0.7785,0.7485,0.7285,0.6985
2987,0.51,4,154,0.566,0.566,0.616,0.5377,0,0.596,0.596,0.616,0.586
2988,0.54,4,206,0.641,0.641,0.691,0.7051,0,0.671,0.671,0.691,0.661
2989,0.99,4,204,0.869,0.869,0.919,0.9559,0,0.899,0.939,0.919,0.889
2990,0.44,4,117,0.4755,0.4755,0.5255,0.451725,0,0.5055,0.5055,0.5255,0.4955
2991,0.74,5,144,0.686,0.686,0.736,0.7546,0,0.716,0.756,0.736,0.766
2992,0.9,3,156,0.744,0.744,0.794,0.8184,0,0.774,0.814,0.794,0.764
2993,0.86,4,211,0.7935,0.7935,0.8435,0.87285,0,0.8235,0.8635,0.8435,0.8135
2994,0.66,3,149,0.6135,0.6135,0.6635,0.67485,0,0.6435,0.6435,0.6635,0.6335
2995,0.64,4,152,0.628,0.628,0.678,0.6908,0,0.658,0.658,0.678,0.648
2996,0.5,4,192,0.618,0.618,0.668,0.6798,0,0.648,0.648,0.668,0.638
2997,0.88,4,274,0.709,0.709,0.759,0.7799,0,0.809,0.779,0.759,0.729
2998,0.72,5,168,0.712,0.712,0.762,0.7832,0,0.742,0.782,0.762,0.792
2999,0.53,4,205,0.6375,0.6375,0.6875,0.70125,0,0.6675,0.6675,0.6875,0.6575
3000,0.83,3,228,0.733,0.733,0.783,0.8063,0,0.833,0.803,0.783,0.753
3001,0.24,4,228,0.458,0.458,0.508,0.4351,0,0.558,0.488,0.508,0.478
3002,0.66,5,227,0.6895,0.6895,0.7395,0.75845,0,0.7895,0.7195,0.7395,0.7695
3003,0.43,3,156,0.509,0.509,0.559,0.48355,0,0.539,0.539,0.559,0.529
3004,0.75,5,177,0.7405,0.7405,0.7905,0.81455,0,0.7705,0.8105,0.7905,0.8205
3005,0.42,6,188,0.612,0.612,0.662,0.6732,0,0.642,0.642,0.662,0.692
3006,0.54,3,185,0.6075,0.6075,0.6575,0.66825,0,0.6375,0.6375,0.6575,0.6275
3007,0.84,3,153,0.7095,0.7095,0.7595,0.78045,0,0.7395,0.7795,0.7595,0.7295
3008,0.95,4,174,0.816,0.816,0.866,0.8976,0,0.846,0.886,0.866,0.836
3009,0.6,4,209,0.6665,0.6665,0.7165,0.73315,0,0.6965,0.6965,0.7165,0.6865
3010,0.95,3,251,0.7585,0.7585,0.8085,0.83435,0,0.8585,0.8285,0.8085,0.7785
3011,0.62,3,153,0.5995,0.5995,0.6495,0.569525,0,0.6295,0.6295,0.6495,0.6195
3012,0.89,3,210,0.79,0.79,0.84,0.869,0,0.82,0.86,0.84,0.81
3013,0.73,5,167,0.7155,0.7155,0.7655,0.78705,0,0.7455,0.7855,0.7655,0.7955
3014,0.86,3,151,0.7165,0.7165,0.7665,0.78815,0,0.7465,0.7865,0.7665,0.7365
3015,0.76,3,158,0.677,0.677,0.727,0.7447,0,0.707,0.747,0.727,0.697
3016,0.91,3,116,0.689,0.689,0.739,0.7579,0,0.719,0.759,0.739,0.709
3017,1,5,178,0.867,0.867,0.917,0.9537,0,0.897,0.937,0.917,0.947
3018,0.98,4,155,0.8025,0.8025,0.8525,0.88275,0,0.8325,0.8725,0.8525,0.8225
3019,0.65,3,151,0.6115,0.6115,0.6615,0.67265,0,0.6415,0.6415,0.6615,0.6315
3020,0.62,4,216,0.666,0.666,0.716,0.7326,0,0.696,0.696,0.716,0.686
3021,0.83,5,179,0.7835,0.7835,0.8335,0.86185,0,0.8135,0.8535,0.8335,0.8635
3022,0.75,4,135,0.6575,0.6575,0.7075,0.72325,0,0.6875,0.7275,0.7075,0.6775
3023,0.82,4,232,0.742,0.742,0.792,0.8162,0,0.842,0.812,0.792,0.762
3024,0.69,4,168,0.677,0.677,0.727,0.7447,0,0.707,0.707,0.727,0.697
3025,0.41,6,171,0.5815,0.5815,0.6315,0.552425,0,0.6115,0.6115,0.6315,0.6615
3026,0.52,5,258,0.573,0.573,0.623,0.54435,0,0.673,0.603,0.623,0.653
3027,0.74,3,221,0.6985,0.6985,0.7485,0.76835,0,0.7985,0.7685,0.7485,0.7185
3028,0.33,5,97,0.4105,0.4105,0.4605,0.389975,0,0.4405,0.4405,0.4605,0.4905
3029,0.8,3,164,0.706,0.706,0.756,0.7766,0,0.736,0.776,0.756,0.726
3030,0.82,4,237,0.7345,0.7345,0.7845,0.80795,0,0.8345,0.8045,0.7845,0.7545
3031,0.59,5,161,0.6365,0.6365,0.6865,0.70015,0,0.6665,0.6665,0.6865,0.7165
3032,0.98,4,134,0.771,0.771,0.821,0.8481,0,0.801,0.841,0.821,0.791
3033,0.93,4,188,0.827,0.827,0.877,0.9097,0,0.857,0.897,0.877,0.847
3034,0.49,4,181,0.5965,0.5965,0.6465,0.566675,0,0.6265,0.6265,0.6465,0.6165
3035,0.6,4,160,0.62,0.62,0.67,0.682,0,0.65,0.65,0.67,0.64
3036,0.34,6,197,0.5855,0.5855,0.6355,0.556225,0,0.6155,0.6155,0.6355,0.6655
3037,0.71,3,145,0.6325,0.6325,0.6825,0.69575,0,0.6625,0.7025,0.6825,0.6525
3038,0.6,5,221,0.6685,0.6685,0.7185,0.73535,0,0.7685,0.6985,0.7185,0.7485
3039,0.12,6,260,0.39,0.39,0.44,0.3705,0,0.49,0.42,0.44,0.47
3040,0.16,3,99,0.2885,0.2885,0.3385,0.274075,0,0.3185,0.3185,0.3385,0.3085
3041,0.57,3,243,0.5805,0.5805,0.6305,0.551475,0,0.6805,0.6105,0.6305,0.6005
3042,0.72,5,244,0.694,0.694,0.744,0.7634,0,0.794,0.764,0.744,0.774
3043,0.91,4,179,0.8035,0.8035,0.8535,0.88385,0,0.8335,0.8735,0.8535,0.8235
3044,0.95,4,146,0.774,0.774,0.824,0.8514,0,0.804,0.844,0.824,0.794
3045,0.71,3,262,0.622,0.622,0.672,0.6842,0,0.722,0.692,0.672,0.642
3046,0.9,4,174,0.791,0.791,0.841,0.8701,0,0.821,0.861,0.841,0.811
3047,0.66,4,148,0.632,0.632,0.682,0.6952,0,0.662,0.662,0.682,0.652
3048,0.48,5,235,0.5875,0.5875,0.6375,0.558125,0,0.6875,0.6175,0.6375,0.6675
3049,0.82,5,285,0.6825,0.6825,0.7325,0.75075,0,0.7825,0.7525,0.7325,0.7625
3050,0.83,4,143,0.7095,0.7095,0.7595,0.78045,0,0.7395,0.7795,0.7595,0.7295
3051,0.85,6,141,0.7565,0.7565,0.8065,0.83215,0,0.7865,0.8265,0.8065,0.8365
3052,0.84,3,125,0.6675,0.6675,0.7175,0.73425,0,0.6975,0.7375,0.7175,0.6875
3053,0.99,4,232,0.827,0.827,0.877,0.9097,0,0.927,0.897,0.877,0.847
3054,0.54,3,172,0.588,0.588,0.638,0.5586,0,0.618,0.618,0.638,0.608
3055,0.64,5,283,0.5955,0.5955,0.6455,0.565725,0,0.6955,0.6255,0.6455,0.6755
3056,0.67,3,189,0.6785,0.6785,0.7285,0.74635,0,0.7085,0.7085,0.7285,0.6985
3057,0.48,2,144,0.496,0.496,0.546,0.4712,0,0.526,0.526,0.546,0.516
3058,0.58,4,145,0.5875,0.5875,0.6375,0.558125,0,0.6175,0.6175,0.6375,0.6075
3059,0.54,3,200,0.63,0.63,0.68,0.693,0,0.66,0.66,0.68,0.65
3060,0.25,3,264,0.389,0.389,0.439,0.36955,0,0.489,0.419,0.439,0.409
3061,0.9,3,215,0.7875,0.7875,0.8375,0.86625,0,0.8175,0.8575,0.8375,0.8075
3062,0.48,4,272,0.512,0.512,0.562,0.4864,0,0.612,0.542,0.562,0.532
3063,0.76,5,142,0.693,0.693,0.743,0.7623,0,0.723,0.763,0.743,0.773
3064,0.72,5,240,0.7,0.7,0.75,0.77,0,0.8,0.77,0.75,0.78
3065,0.95,4,168,0.807,0.807,0.857,0.8877,0,0.837,0.877,0.857,0.827
3066,0.73,4,171,0.7015,0.7015,0.7515,0.77165,0,0.7315,0.7715,0.7515,0.7215
3067,0.93,3,159,0.7635,0.7635,0.8135,0.83985,0,0.7935,0.8335,0.8135,0.7835
3068,0.89,3,175,0.7675,0.7675,0.8175,0.84425,0,0.7975,0.8375,0.8175,0.7875
3069,0.7,4,244,0.664,0.664,0.714,0.7304,0,0.764,0.694,0.714,0.684
3070,0.98,3,198,0.847,0.847,0.897,0.9317,0,0.877,0.917,0.897,0.867
3071,0.72,5,151,0.6865,0.6865,0.7365,0.75515,0,0.7165,0.7565,0.7365,0.7665
3072,0.49,2,188,0.567,0.567,0.617,0.53865,0,0.597,0.597,0.617,0.587
3073,0.15,3,199,0.4335,0.4335,0.4835,0.411825,0,0.4635,0.4635,0.4835,0.4535
3074,0.57,4,257,0.5795,0.5795,0.6295,0.550525,0,0.6795,0.6095,0.6295,0.5995
3075,0.21,4,144,0.401,0.401,0.451,0.38095,0,0.431,0.431,0.451,0.421
3076,0.46,4,275,0.4975,0.4975,0.5475,0.472625,0,0.5975,0.5275,0.5475,0.5175
3077,0.56,3,243,0.5755,0.5755,0.6255,0.546725,0,0.6755,0.6055,0.6255,0.5955
3078,0.81,3,181,0.7365,0.7365,0.7865,0.81015,0,0.7665,0.8065,0.7865,0.7565
3079,0.93,5,172,0.823,0.823,0.873,0.9053,0,0.853,0.893,0.873,0.903
3080,0.82,3,244,0.704,0.704,0.754,0.7744,0,0.804,0.774,0.754,0.724
3081,0.76,4,242,0.697,0.697,0.747,0.7667,0,0.797,0.767,0.747,0.717
3082,0.97,3,249,0.7715,0.7715,0.8215,0.84865,0,0.8715,0.8415,0.8215,0.7915
3083,0.38,5,128,0.482,0.482,0.532,0.4579,0,0.512,0.512,0.532,0.562
3084,0.46,3,213,0.5705,0.5705,0.6205,0.541975,0,0.6005,0.6005,0.6205,0.5905
3085,0.34,4,152,0.478,0.478,0.528,0.4541,0,0.508,0.508,0.528,0.498
3086,0.63,4,245,0.6275,0.6275,0.6775,0.69025,0,0.7275,0.6575,0.6775,0.6475
3087,0.57,4,113,0.5345,0.5345,0.5845,0.507775,0,0.5645,0.5645,0.5845,0.5545
3088,0.17,4,280,0.345,0.345,0.395,0.32775,0,0.445,0.375,0.395,0.365
3089,0.74,3,273,0.6205,0.6205,0.6705,0.68255,0,0.7205,0.6905,0.6705,0.6405
3090,0.59,4,221,0.6435,0.6435,0.6935,0.70785,0,0.7435,0.6735,0.6935,0.6635
3091,0.49,5,133,0.5445,0.5445,0.5945,0.517275,0,0.5745,0.5745,0.5945,0.6245
3092,0.49,3,136,0.509,0.509,0.559,0.48355,0,0.539,0.539,0.559,0.529
3093,0.61,4,243,0.6205,0.6205,0.6705,0.68255,0,0.7205,0.6505,0.6705,0.6405
3094,0.81,5,135,0.7075,0.7075,0.7575,0.77825,0,0.7375,0.7775,0.7575,0.7875
3095,0.74,3,231,0.6835,0.6835,0.7335,0.75185,0,0.7835,0.7535,0.7335,0.7035
3096,0.91,3,259,0.7265,0.7265,0.7765,0.79915,0,0.8265,0.7965,0.7765,0.7465
3097,0.71,3,238,0.658,0.658,0.708,0.7238,0,0.758,0.728,0.708,0.678
3098,0.73,3,210,0.71,0.71,0.76,0.781,0,0.74,0.78,0.76,0.73
3099,0.44,3,120,0.46,0.46,0.51,0.437,0,0.49,0.49,0.51,0.48
3100,0.6,2,203,0.6355,0.6355,0.6855,0.69905,0,0.6655,0.6655,0.6855,0.6555
3101,0.73,4,148,0.667,0.667,0.717,0.7337,0,0.697,0.737,0.717,0.687
3102,0.8,4,258,0.693,0.693,0.743,0.7623,0,0.793,0.763,0.743,0.713
3103,0.97,3,225,0.8075,0.8075,0.8575,0.88825,0,0.9075,0.8775,0.8575,0.8275
3104,0.99,4,208,0.863,0.863,0.913,0.9493,0,0.893,0.933,0.913,0.883
3105,0.96,4,274,0.749,0.749,0.799,0.8239,0,0.849,0.819,0.799,0.769
3106,0.24,5,147,0.4405,0.4405,0.4905,0.418475,0,0.4705,0.4705,0.4905,0.5205
3107,0.45,2,167,0.5155,0.5155,0.5655,0.489725,0,0.5455,0.5455,0.5655,0.5355
3108,0.74,4,154,0.681,0.681,0.731,0.7491,0,0.711,0.751,0.731,0.701
3109,0.6,4,195,0.6725,0.6725,0.7225,0.73975,0,0.7025,0.7025,0.7225,0.6925
3110,0.67,3,237,0.6395,0.6395,0.6895,0.70345,0,0.7395,0.6695,0.6895,0.6595
3111,0.57,4,222,0.632,0.632,0.682,0.6952,0,0.732,0.662,0.682,0.652
3112,0.87,5,145,0.7525,0.7525,0.8025,0.82775,0,0.7825,0.8225,0.8025,0.8325
3113,0.25,3,257,0.3995,0.3995,0.4495,0.379525,0,0.4995,0.4295,0.4495,0.4195
3114,0.98,3,286,0.721,0.721,0.771,0.7931,0,0.821,0.791,0.771,0.741
3115,0.3,2,137,0.3955,0.3955,0.4455,0.375725,0,0.4255,0.4255,0.4455,0.4155
3116,0.21,5,130,0.4,0.4,0.45,0.38,0,0.43,0.43,0.45,0.48
3117,0.56,3,214,0.619,0.619,0.669,0.6809,0,0.649,0.649,0.669,0.639
3118,0.75,3,138,0.642,0.642,0.692,0.7062,0,0.672,0.712,0.692,0.662
3119,0.5,3,166,0.559,0.559,0.609,0.53105,0,0.589,0.589,0.609,0.579
3120,0.61,4,159,0.6235,0.6235,0.6735,0.68585,0,0.6535,0.6535,0.6735,0.6435
3121,0.83,5,160,0.755,0.755,0.805,0.8305,0,0.785,0.825,0.805,0.835
3122,0.66,3,155,0.6225,0.6225,0.6725,0.68475,0,0.6525,0.6525,0.6725,0.6425
3123,0.84,3,231,0.7335,0.7335,0.7835,0.80685,0,0.8335,0.8035,0.7835,0.7535
3124,0.87,4,227,0.7745,0.7745,0.8245,0.85195,0,0.8745,0.8445,0.8245,0.7945
3125,0.48,3,181,0.5715,0.5715,0.6215,0.542925,0,0.6015,0.6015,0.6215,0.5915
3126,0.84,4,222,0.767,0.767,0.817,0.8437,0,0.867,0.837,0.817,0.787
3127,0.49,3,196,0.599,0.599,0.649,0.56905,0,0.629,0.629,0.649,0.619
3128,0.67,3,206,0.686,0.686,0.736,0.7546,0,0.716,0.716,0.736,0.706
3129,0.12,6,257,0.3945,0.3945,0.4445,0.374775,0,0.4945,0.4245,0.4445,0.4745
3130,0.99,5,153,0.8245,0.8245,0.8745,0.90695,0,0.8545,0.8945,0.8745,0.9045
3131,0.17,5,250,0.41,0.41,0.46,0.3895,0,0.51,0.44,0.46,0.49
3132,0.58,3,250,0.575,0.575,0.625,0.54625,0,0.675,0.605,0.625,0.595
3133,0.5,3,148,0.532,0.532,0.582,0.5054,0,0.562,0.562,0.582,0.552
3134,0.35,3,141,0.4465,0.4465,0.4965,0.424175,0,0.4765,0.4765,0.4965,0.4665
3135,0.93,6,147,0.8055,0.8055,0.8555,0.88605,0,0.8355,0.8755,0.8555,0.8855
3136,0.73,3,142,0.638,0.638,0.688,0.7018,0,0.668,0.708,0.688,0.658
3137,0.91,3,210,0.8,0.8,0.85,0.88,0,0.83,0.87,0.85,0.82
3138,0.72,3,152,0.648,0.648,0.698,0.7128,0,0.678,0.718,0.698,0.668
3139,0.51,3,149,0.5385,0.5385,0.5885,0.511575,0,0.5685,0.5685,0.5885,0.5585
3140,0.55,3,198,0.632,0.632,0.682,0.6952,0,0.662,0.662,0.682,0.652
3141,0.66,3,139,0.5985,0.5985,0.6485,0.568575,0,0.6285,0.6285,0.6485,0.6185
3142,0.84,6,255,0.7575,0.7575,0.8075,0.83325,0,0.8575,0.8275,0.8075,0.8375
3143,0.81,4,229,0.7415,0.7415,0.7915,0.81565,0,0.8415,0.8115,0.7915,0.7615
3144,0.81,5,134,0.706,0.706,0.756,0.7766,0,0.736,0.776,0.756,0.786
3145,0.5,5,255,0.5675,0.5675,0.6175,0.539125,0,0.6675,0.5975,0.6175,0.6475
3146,0.78,5,189,0.7735,0.7735,0.8235,0.85085,0,0.8035,0.8435,0.8235,0.8535
3147,0.76,3,183,0.7145,0.7145,0.7645,0.78595,0,0.7445,0.7845,0.7645,0.7345
3148,0.49,3,154,0.536,0.536,0.586,0.5092,0,0.566,0.566,0.586,0.556
3149,0.99,3,167,0.8055,0.8055,0.8555,0.88605,0,0.8355,0.8755,0.8555,0.8255
3150,0.73,4,139,0.6535,0.6535,0.7035,0.71885,0,0.6835,0.7235,0.7035,0.6735
3151,0.88,5,245,0.7725,0.7725,0.8225,0.84975,0,0.8725,0.8425,0.8225,0.8525
3152,0.79,4,200,0.775,0.775,0.825,0.8525,0,0.805,0.845,0.825,0.795
3153,0.83,3,159,0.7135,0.7135,0.7635,0.78485,0,0.7435,0.7835,0.7635,0.7335
3154,0.21,4,163,0.4295,0.4295,0.4795,0.408025,0,0.4595,0.4595,0.4795,0.4495
3155,0.87,3,158,0.732,0.732,0.782,0.8052,0,0.762,0.802,0.782,0.752
3156,1,3,194,0.851,0.851,0.901,0.9361,0,0.881,0.921,0.901,0.871
3157,0.49,3,267,0.5045,0.5045,0.5545,0.479275,0,0.6045,0.5345,0.5545,0.5245
3158,0.51,3,183,0.5895,0.5895,0.6395,0.560025,0,0.6195,0.6195,0.6395,0.6095
3159,0.63,3,174,0.636,0.636,0.686,0.6996,0,0.666,0.666,0.686,0.656
3160,0.91,4,240,0.775,0.775,0.825,0.8525,0,0.875,0.845,0.825,0.795
3161,0.54,2,123,0.4945,0.4945,0.5445,0.469775,0,0.5245,0.5245,0.5445,0.5145
3162,1,4,174,0.841,0.841,0.891,0.9251,0,0.871,0.911,0.891,0.861
3163,0.64,5,246,0.651,0.651,0.701,0.7161,0,0.751,0.681,0.701,0.731
3164,0.65,5,173,0.6845,0.6845,0.7345,0.75295,0,0.7145,0.7145,0.7345,0.7645
3165,0.15,4,185,0.4325,0.4325,0.4825,0.410875,0,0.4625,0.4625,0.4825,0.4525
3166,0.81,4,259,0.6965,0.6965,0.7465,0.76615,0,0.7965,0.7665,0.7465,0.7165
3167,0.61,3,112,0.533,0.533,0.583,0.50635,0,0.563,0.563,0.583,0.553
3168,0.86,5,219,0.8015,0.8015,0.8515,0.88165,0,0.8315,0.8715,0.8515,0.8815
3169,0.71,3,258,0.628,0.628,0.678,0.6908,0,0.728,0.698,0.678,0.648
3170,0.72,5,287,0.6295,0.6295,0.6795,0.69245,0,0.7295,0.6995,0.6795,0.7095
3171,0.84,5,186,0.799,0.799,0.849,0.8789,0,0.829,0.869,0.849,0.879
3172,0.38,3,159,0.4885,0.4885,0.5385,0.464075,0,0.5185,0.5185,0.5385,0.5085
3173,0.75,4,230,0.71,0.71,0.76,0.781,0,0.81,0.78,0.76,0.73
3174,0.93,5,106,0.724,0.724,0.774,0.7964,0,0.754,0.794,0.774,0.804
3175,0.71,4,189,0.7185,0.7185,0.7685,0.79035,0,0.7485,0.7885,0.7685,0.7385
3176,0.75,3,252,0.657,0.657,0.707,0.7227,0,0.757,0.727,0.707,0.677
3177,0.56,4,220,0.63,0.63,0.68,0.693,0,0.66,0.66,0.68,0.65
3178,0.57,5,218,0.658,0.658,0.708,0.7238,0,0.688,0.688,0.708,0.738
3179,0.63,4,145,0.6125,0.6125,0.6625,0.67375,0,0.6425,0.6425,0.6625,0.6325
3180,0.59,4,142,0.588,0.588,0.638,0.5586,0,0.618,0.618,0.638,0.608
3181,0.77,3,218,0.718,0.718,0.768,0.7898,0,0.748,0.788,0.768,0.738
3182,0.65,4,157,0.6405,0.6405,0.6905,0.70455,0,0.6705,0.6705,0.6905,0.6605
3183,0.84,4,178,0.767,0.767,0.817,0.8437,0,0.797,0.837,0.817,0.787
3184,0.9,4,241,0.7685,0.7685,0.8185,0.84535,0,0.8685,0.8385,0.8185,0.7885
3185,0.6,3,230,0.615,0.615,0.665,0.6765,0,0.715,0.645,0.665,0.635
3186,0.9,5,249,0.7765,0.7765,0.8265,0.85415,0,0.8765,0.8465,0.8265,0.8565
3187,0.94,5,147,0.7905,0.7905,0.8405,0.86955,0,0.8205,0.8605,0.8405,0.8705
3188,0.56,4,115,0.5325,0.5325,0.5825,0.505875,0,0.5625,0.5625,0.5825,0.5525
3189,0.95,5,143,0.7895,0.7895,0.8395,0.86845,0,0.8195,0.8595,0.8395,0.8695
3190,0.97,4,219,0.8365,0.8365,0.8865,0.92015,0,0.8665,0.9065,0.8865,0.8565
3191,0.55,4,218,0.628,0.628,0.678,0.6908,0,0.658,0.658,0.678,0.648
3192,0.79,5,235,0.7425,0.7425,0.7925,0.81675,0,0.8425,0.8125,0.7925,0.8225
3193,0.49,5,237,0.5895,0.5895,0.6395,0.560025,0,0.6895,0.6195,0.6395,0.6695
3194,0.49,5,186,0.624,0.624,0.674,0.6864,0,0.654,0.654,0.674,0.704
3195,0.57,5,177,0.6505,0.6505,0.7005,0.71555,0,0.6805,0.6805,0.7005,0.7305
3196,0.89,4,228,0.783,0.783,0.833,0.8613,0,0.883,0.853,0.833,0.803
3197,0.66,3,204,0.684,0.684,0.734,0.7524,0,0.714,0.714,0.734,0.704
3198,0.94,5,210,0.855,0.855,0.905,0.9405,0,0.885,0.925,0.905,0.935
3199,0.98,4,250,0.795,0.795,0.845,0.8745,0,0.895,0.865,0.845,0.815
3200,0.18,5,185,0.4675,0.4675,0.5175,0.444125,0,0.4975,0.4975,0.5175,0.5475
3201,0.57,3,146,0.564,0.564,0.614,0.5358,0,0.594,0.594,0.614,0.584
3202,0.67,3,217,0.6695,0.6695,0.7195,0.73645,0,0.6995,0.6995,0.7195,0.6895
3203,0.12,6,172,0.438,0.438,0.488,0.4161,0,0.468,0.468,0.488,0.518
3204,0.48,3,184,0.576,0.576,0.626,0.5472,0,0.606,0.606,0.626,0.596
3205,0.61,3,148,0.587,0.587,0.637,0.55765,0,0.617,0.617,0.637,0.607
3206,0.23,5,236,0.461,0.461,0.511,0.43795,0,0.561,0.491,0.511,0.541
3207,0.4,3,280,0.44,0.44,0.49,0.418,0,0.54,0.47,0.49,0.46
3208,0.57,3,218,0.618,0.618,0.668,0.6798,0,0.648,0.648,0.668,0.638
3209,0.95,5,155,0.8075,0.8075,0.8575,0.88825,0,0.8375,0.8775,0.8575,0.8875
3210,0.93,4,242,0.782,0.782,0.832,0.8602,0,0.882,0.852,0.832,0.802
3211,0.7,3,166,0.659,0.659,0.709,0.7249,0,0.689,0.689,0.709,0.679
3212,0.58,4,175,0.6325,0.6325,0.6825,0.69575,0,0.6625,0.6625,0.6825,0.6525
3213,0.52,5,234,0.609,0.609,0.659,0.6699,0,0.709,0.639,0.659,0.689
3214,0.98,5,232,0.842,0.842,0.892,0.9262,0,0.942,0.912,0.892,0.922
3215,0.93,4,156,0.779,0.779,0.829,0.8569,0,0.809,0.849,0.829,0.799
3216,0.34,5,248,0.498,0.498,0.548,0.4731,0,0.598,0.528,0.548,0.578
3217,0.87,4,218,0.788,0.788,0.838,0.8668,0,0.818,0.858,0.838,0.808
3218,0.52,5,251,0.5835,0.5835,0.6335,0.554325,0,0.6835,0.6135,0.6335,0.6635
3219,0.58,4,173,0.6295,0.6295,0.6795,0.69245,0,0.6595,0.6595,0.6795,0.6495
3220,0.65,4,157,0.6405,0.6405,0.6905,0.70455,0,0.6705,0.6705,0.6905,0.6605
3221,0.74,3,274,0.619,0.619,0.669,0.6809,0,0.719,0.689,0.669,0.639
3222,0.63,5,182,0.688,0.688,0.738,0.7568,0,0.718,0.718,0.738,0.768
3223,0.74,4,233,0.7005,0.7005,0.7505,0.77055,0,0.8005,0.7705,0.7505,0.7205
3224,0.65,4,249,0.6315,0.6315,0.6815,0.69465,0,0.7315,0.6615,0.6815,0.6515
3225,0.48,3,162,0.543,0.543,0.593,0.51585,0,0.573,0.573,0.593,0.563
3226,0.84,3,184,0.756,0.756,0.806,0.8316,0,0.786,0.826,0.806,0.776
3227,0.6,3,135,0.5625,0.5625,0.6125,0.534375,0,0.5925,0.5925,0.6125,0.5825
3228,0.56,3,143,0.5545,0.5545,0.6045,0.526775,0,0.5845,0.5845,0.6045,0.5745
3229,0.13,5,203,0.4605,0.4605,0.5105,0.437475,0,0.4905,0.4905,0.5105,0.5405
3230,0.83,5,143,0.7295,0.7295,0.7795,0.80245,0,0.7595,0.7995,0.7795,0.8095
3231,0.91,2,142,0.708,0.708,0.758,0.7788,0,0.738,0.778,0.758,0.728
3232,0.97,5,171,0.8415,0.8415,0.8915,0.92565,0,0.8715,0.9115,0.8915,0.9215
3233,0.9,3,223,0.7755,0.7755,0.8255,0.85305,0,0.8755,0.8455,0.8255,0.7955
3234,0.57,4,148,0.587,0.587,0.637,0.55765,0,0.617,0.617,0.637,0.607
3235,0.84,6,140,0.75,0.75,0.8,0.825,0,0.78,0.82,0.8,0.83
3236,0.84,4,226,0.761,0.761,0.811,0.8371,0,0.861,0.831,0.811,0.781
3237,0.17,5,183,0.4595,0.4595,0.5095,0.436525,0,0.4895,0.4895,0.5095,0.5395
3238,0.97,5,135,0.7875,0.7875,0.8375,0.86625,0,0.8175,0.8575,0.8375,0.8675
3239,0.94,3,236,0.776,0.776,0.826,0.8536,0,0.876,0.846,0.826,0.796
3240,0.83,5,257,0.7295,0.7295,0.7795,0.80245,0,0.8295,0.7995,0.7795,0.8095
3241,0.91,3,155,0.7475,0.7475,0.7975,0.82225,0,0.7775,0.8175,0.7975,0.7675
3242,0.9,2,211,0.7735,0.7735,0.8235,0.85085,0,0.8035,0.8435,0.8235,0.7935
3243,0.95,3,207,0.8245,0.8245,0.8745,0.90695,0,0.8545,0.8945,0.8745,0.8445
3244,0.69,3,126,0.594,0.594,0.644,0.5643,0,0.624,0.624,0.644,0.614
